codigo;nome
33069018;CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA (CEUN-IMT)
32071035;CENTRO UNIVERSITARIO DO LESTE DE MINAS GERAIS (UNILESTE)
32071019;CENTRO UNIVERSITARIO DO LESTE DE MINAS GERAIS (UNILESTEMG)
32115016;CENTRO UNIVERSITÁRIO DO SUL DE MINAS (UNIS-MG)
32028016;CENTRO UNIVERSITÁRIO DO TRIÂNGULO (UNITRI)
26013002;CENTRO UNIVERSITÁRIO DOS GUARARAPES (FG)
22016015;CENTRO UNIVERSITÁRIO DR. LEÃO SAMPAIO (UNILEÃO)
31088015;CENTRO UNIVERSITÁRIO ESTADUAL DA ZONA OESTE (UEZO)
33111014;CENTRO UNIVERSITÁRIO EURÍPEDES DE MARÍLIA (UNIVEM)
53017013;CENTRO UNIVERSITÁRIO EURO-AMERICANO (UNIEURO)
41025016;CENTRO UNIVERSITÁRIO FACVEST (FACVEST)
25018019;CENTRO UNIVERSITÁRIO FBV WYDEN (UNIFBV-WYDEN)
33096015;CENTRO UNIVERSITÁRIO FECAP (UniFECAP)
29010004;CENTRO UNIVERSITÁRIO FG (UNIFG)
33079013;CENTRO UNIVERSITÁRIO FIEO (UNIFIEO)
40038017;CENTRO UNIVERSITÁRIO INGÁ (UNINGÁ)
22021019;CENTRO UNIVERSITÁRIO INTA (UNINTA)
40051013;Centro Universitário Internacional (UNINTER)
33077010;CENTRO UNIVERSITÁRIO LUSÍADA (UNILUS)
42042011;CENTRO UNIVERSITÁRIO METODISTA IPA (IPA)
33053014;CENTRO UNIVERSITÁRIO MOURA LACERDA (CUML)
32116012;CENTRO UNIVERSITÁRIO NEWTON PAIVA (NEWTON PAI)
31059015;CENTRO UNIVERSITARIO PLINIO LEITE (UNIPLI)
42043018;CENTRO UNIVERSITÁRIO RITTER DOS REIS (UNIRITTER)
33131015;CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO (UNISAL)
33028010;CENTRO UNIVERSITÁRIO SÃO CAMILO (CUSC)
33112010;CENTRO UNIVERSITÁRIO SAÚDE ABC (FMABC)
33127018;CENTRO UNIVERSITÁRIO SENAC (SENACSP)
28023013;CENTRO UNIVERSITÁRIO SENAI CIMATEC (SENAI-CIMATEC)
41017013;CENTRO UNIVERSITÁRIO SOCIESC (UNISOCIESC)
33245010;CENTRO UNIVERSITÁRIO TERESA D´ÁVILA (UNIFATEA)
27011003;CENTRO UNIVERSITÁRIO TIRADENTES (UNIT/Alagoas)
33137013;CENTRO UNIVERSITÁRIO TOLEDO (UNITOLEDO)
