id;programa;codigo_programa;codigo_instituicao
1191;EDUCAÇÃO;53003012001P9;53003012
1192;EDUCAÇÃO FÍSICA;53003012007P7;53003012
1193;GERONTOLOGIA;53003012009P0;53003012
1194;Governança, Tecnologia e Inovação;53003012006P0;53003012
1195;PLANEJAMENTO E GESTÃO AMBIENTAL;53003012003P1;53003012
1196;POLÍTICAS PÚBLICAS ;53003012013P7;53003012
1197;PSICOLOGIA;53003012002P5;53003012
1198;TECNOLOGIAS AMBIENTAIS;53003012012P0;53003012
1199;Engenharia Eletrônica e Computação;42006015009P8;42006015
1200;INFORMÁTICA;42006015006P9;42006015
1201;LETRAS;42006015003P0;42006015
1202;Política Social e Direitos Humanos;42006015005P2;42006015
1203;Saúde da mulher, criança e adolescente;42006015008P1;42006015
1204;SAÚDE E COMPORTAMENTO;42006015004P6;42006015
1205;CIÊNCIAS DA LINGUAGEM;25002015003P6;25002015
1206;CIÊNCIAS DA RELIGIÃO;25002015004P2;25002015
1207;DESENVOLVIMENTO DE PROCESSOS AMBIENTAIS;25002015005P9;25002015
1208;DIREITO;25002015006P5;25002015
1209;ENGENHARIA CIVIL;25002015002P0;25002015
1210;HISTÓRIA;25002015009P4;25002015
1211;INDÚSTRIAS CRIATIVAS;25002015008P8;25002015
1212;PSICOLOGIA CLÍNICA;25002015001P3;25002015
1213;TEOLOGIA;25002015007P1;25002015
1214;DIREITO;31019013002P3;31019013
1215;EDUCAÇÃO;31019013001P7;31019013
1216;Gestão de Sistemas de Engenharia;31019013004P6;31019013
1217;PSICOLOGIA;31019013003P0;31019013
1218;ADMINISTRAÇÃO;33020019002P3;33020019
1219;ARQUITETURA E URBANISMO;33020019007P5;33020019
1220;DIREITO;33020019001P7;33020019
1221;EDUCAÇÃO;33020019004P6;33020019
1222;INFORMÁTICA;33020019003P0;33020019
1223;PSICOLOGIA DESENVOLVIMENTO E POLÍTICAS PÚBLICAS;33020019006P9;33020019
1224;SAÚDE COLETIVA;33020019005P2;33020019
1225;DIREITO;28003012007P6;28003012
1226;FAMÍLIA NA SOCIEDADE CONTEMPORÃNEA;28003012004P7;28003012
1227;PLANEJAMENTO AMBIENTAL;28003012005P3;28003012
1228;PLANEJAMENTO TERRITORIAL E DESENVOLVIMENTO SOCIAL;28003012002P4;28003012
1229;POLÍTICAS SOCIAIS E CIDADANIA;28003012003P0;28003012
1230;POLÍTICAS SOCIAIS E CIDADANIA;28003012006P0;28003012
1231;BIOTECNOLOGIA;51002019005P2;51002019
1232;Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste;53001010100P8;51002019
1233;Ciências Ambientais e Sustentabilidade Agropecuária;51002019006P9;51002019
1234;DESENVOLVIMENTO LOCAL;51002019003P0;51002019
1235;EDUCAÇÃO;51002019002P3;51002019
1236;PSICOLOGIA;51002019004P6;51002019
1237;Biodiversidade e Biotecnologia - Rede BIONORTE;12001015038P1;20009011
1238;BIOLOGIA MICROBIANA;20009011041P6;20009011
1239;BIOLOGIA PARASITÁRIA;20009011002P0;20009011
1240;Gestão de Programas e Serviços de Saúde;20009011003P7;20009011
1241;MEIO AMBIENTE;21014000039P9;20009011
1242;ODONTOLOGIA;20009011001P4;20009011
1243;ODONTOLOGIA;20009011040P0;20009011
1244;ADMINISTRAÇÃO;33052018004P4;33052018
1245;ASTROFÍSICA E FÍSICA COMPUTACIONAL;33052018007P3;33052018
1246;EDUCAÇÃO;33052018003P8;33052018
1247;FISIOTERAPIA;33052018005P0;33052018
1248;FORMAÇÃO DE GESTORES EDUCACIONAIS;33052018006P7;33052018
1249;Odontologia;33052018002P1;33052018
1250;CIÊNCIAS AMBIENTAIS;41016017001P6;41016017
1251;CIÊNCIAS CONTÁBEIS E ADMINISTRAÇÃO;41016017007P4;41016017
1252;Ciências da Saúde;41016017003P9;41016017
1253;DIREITO;41016017006P8;41016017
1254;EDUCAÇÃO;41016017004P5;41016017
1255;Políticas Sociais e Dinâmicas Regionais;41016017002P2;41016017
1256;Tecnologia e Gestão da Inovação;41016017005P1;41016017
1257;ASTROFÍSICA E FÍSICA COMPUTACIONAL;33078017008P1;33078017
1258;CIÊNCIAS DA SAÚDE;33078017005P2;33078017
1259;CIÊNCIAS DO MOVIMENTO HUMANO;33078017006P9;33078017
1260;ENSINO DE CIÊNCIAS;33078017009P8;33078017
1261;ENSINO DE CIÊNCIAS E MATEMÁTICA;33078017002P3;33078017
1262;INTERDISCIPLINAR EM CIÊNCIAS DA SAÚDE;33078017011P2;33078017
1263;LINGÜÍSTICA;33078017007P5;33078017
1264;ODONTOLOGIA;33078017001P7;33078017
1265;POLITICAS SOCIAIS;33078017004P6;33078017
1266;QUIMICA;33078017003P0;33078017
1267;ADMINISTRAÇÃO;15004015005P3;15004015
1268;COMUNICAÇÃO, LINGUAGENS E CULTURA;15004015006P0;15004015
1269;DESENVOLVIMENTO E MEIO AMBIENTE URBANO;15004015004P7;15004015
1270;DIREITO;15004015003P0;15004015
1271;Direitos Fundamentais;15004015007P6;15004015
1272;ECONOMIA;15004015002P4;15004015
1273;GESTÃO DE CONHECIMENTOS PARA O DESENVOLVIMENTO SOCIOAMBIENTAL;15004015008P2;15004015
1274;Ciências Aeroespaciais;31096018001P2;31096018
1275;DESEMPENHO HUMANO OPERACIONAL;31096018002P9;31096018
1276;ANTROPOLOGIA;22001018171P1;22011013
1277;ENERGIA E AMBIENTE;22011013006P2;22011013
1278; ENFERMAGEM;22011013003P3;22011013
1279;ENSINO E FORMAÇÃO DOCENTE;22011013005P6;22011013
1280;ESTUDOS DA LINGUAGEM;22011013004P0;22011013
1281;Interdisciplinar em Humanidades;22011013002P7;22011013
1282;Sociobiodiversidade e Tecnologias Sustentáveis;22011013001P0;22011013
1283;Matemática em Rede Nacional;31075010001P2;22011021
1284;Design;41004019005P7;41004019
1285;Educação;41004019004P0;41004019
1286;ENGENHARIA DE PROCESSOS;41004019002P8;41004019
1287;PATRIMÔNIO CULTURAL E SOCIEDADE;41004019003P4;41004019
1288;SAÚDE E MEIO AMBIENTE;41004019001P1;41004019
1289;BIOTECNOLOGIA;33082014005P6;33082014
1290;Ciências Odontológicas;33082014003P3;33082014
1291;Desenvolvimento Territorial e Meio Ambiente;33082014001P0;33082014
1292;DIREITO E GESTÃO DE CONFLITOS;33082014006P2;33082014
1293;Engenharia de Produção;33082014002P7;33082014
1294;Processos de ensino, gestão e inovação;33082014004P0;33082014
1295;ADMINISTRAÇÃO;53001010016P7;53001010
1296;ADMINISTRAÇÃO;53001010055P2;53001010
1297;AGRONEGÓCIOS;53001010063P5;53001010
1298;AGRONOMIA;53001010071P8;53001010
1299;ANTROPOLOGIA;53001010010P9;53001010
1300;ARQUITETURA E URBANISMO;53001010042P8;53001010
1301;Artes Cênicas;53001010103P7;53001010
1302;ARTES VISUAIS;53001010040P5;53001010
1303;BIOÉTICA;53001010076P0;53001010
1304;BIOLOGIA ANIMAL;53001010045P7;53001010
1305;Biologia Microbiana;53001010094P8;53001010
1306;Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste;53001010100P8;53001010
1307;BOTÂNICA;53001010038P0;53001010
1308;BOTÂNICA;53001010112P6;53001010
1309;CIÊNCIA  POLÍTICA;53001010026P2;53001010
1310;CIÊNCIAS AGRÁRIAS;53001010039P7;53001010
1311;CIÊNCIAS AMBIENTAIS;53001010108P9;53001010
1312;CIÊNCIAS ANIMAIS;53001010067P0;53001010
1313;CIÊNCIAS BIOLÓGICAS BIOLOGIA MOLECULAR;53001010007P8;53001010
1314;CIÊNCIAS CONTÁBEIS;53001010050P0;53001010
1315;CIÊNCIAS CONTÁBEIS ;53001010105P0;53001010
1316;CIÊNCIAS DA COMPUTAÇÃO;53001010033P9;53001010
1317;CIÊNCIAS DA INFORMAÇÃO;53001010018P0;53001010
1318;CIÊNCIAS DA REABILITAÇÃO;53001010107P2;53001010
1319;CIÊNCIAS DA SAÚDE;53001010047P0;53001010
1320;CIÊNCIAS DE MATERIAIS;53001010084P2;53001010
1321;CIÊNCIAS DO COMPORTAMENTO;53001010068P7;53001010
1322;Ciências e Tecnologias em Saúde;53001010088P8;53001010
1323;Ciências Farmacêuticas;53001010085P9;53001010
1324;CIÊNCIAS FLORESTAIS;53001010046P3;53001010
1325;CIÊNCIAS MECÂNICAS;53001010053P0;53001010
1326;CIENCIAS MEDICAS;53001010051P7;53001010
1327;Computação Aplicada;53001010098P3;53001010
1328;COMUNICAÇÃO;53001010019P6;53001010
1329;CONTABILIDADE - UNB - UFPB - UFRN;53001010073P0;53001010
1330;DESENHO URBANO;53001010027P9;53001010
1331;Desenvolvimento, Sociedade e Cooperação Internacional;53001010089P4;53001010
1332;DESENVOLVIMENTO SUSTENTÁVEL;53001010044P0;53001010
1333;DESENVOLVIMENTO SUSTENTÁVEL;53001010060P6;53001010
1334;Design;53001010101P4;53001010
1335;DIREITO, REGULAÇÃO E POLÍTICAS PÚBLICAS;53001010111P0;53001010
1336;DIREITO;53001010017P3;53001010
1337;Direitos Humanos e Cidadania;53001010095P4;53001010
1338;ECOLOGIA;53001010008P4;53001010
1339;ECONOMIA;53001010012P1;53001010
1340;ECONOMIA;53001010058P1;53001010
1341;EDUCAÇÃO;53001010001P0;53001010
1342;Educação;53001010087P1;53001010
1343;EDUCAÇÃO EM CIÊNCIAS;53001010106P6;53001010
1344;EDUCAÇÃO FÍSICA;33004137068P8;53001010
1345;EDUCAÇÃO FÍSICA;53001010066P4;53001010
1346;ENFERMAGEM;53001010082P0;53001010
1347;ENGENHARIA BIOMÉDICA;53001010083P6;53001010
1348;ENGENHARIA DE SISTEMAS ELETRÔNICOS E DE AUTOMAÇÃO;53001010081P3;53001010
1349;ENGENHARIA ELÉTRICA;53001010014P4;53001010
1350;ENGENHARIA ELÉTRICA;53001010059P8;53001010
1351;ENGENHARIA ELÉTRICA;53001010080P7;53001010
1352;ENGENHARIA MECÂNICA;53001010028P5;53001010
1353;ENSINO DE CIÊNCIAS;53001010056P9;53001010
1354;Ensino de Física  - PROFIS;33283010001P5;53001010
1355;Ensino na Saúde;53001010104P3;53001010
1356;ESTATISTICA;53001010074P7;53001010
1357;ESTATÍSTICA E MÉTODOS QUANTITATIVOS;53001010004P9;53001010
1358;ESTRUTURAS E CONSTRUÇÃO CIVIL;53001010036P8;53001010
1359;ESTUDOS COMPARADOS SOBRE AS AMÉRICAS;53001010029P1;53001010
1360;Estudos de Tradução;53001010091P9;53001010
1361;FILOSOFIA;53001010048P6;53001010
1362;FÍSICA;53001010002P6;53001010
1363;FITOPATOLOGIA;53001010021P0;53001010
1364;GEOCIÊNCIAS APLICADAS E GEODINÂMICA;53001010075P3;53001010
1365;GEOGRAFIA;53001010043P4;53001010
1366;GEOLOGIA;53001010006P1;53001010
1367;GEOTECNIA;53001010032P2;53001010
1368;GESTÃO E REGULAÇÃO DE RECURSOS HÍDRICOS - PROFÁGUA;33004013069P2;53001010
1369;Gestão Pública;53001010102P0;53001010
1370;HISTÓRIA;53001010011P5;53001010
1371;INFORMÁTICA;53001010054P6;53001010
1372;Integridade de Materiais da Engenharia;53001010086P5;53001010
1373;LINGÜÍSTICA;53001010023P3;53001010
1374;LINGÜÍSTICA APLICADA;53001010037P4;53001010
1375;LINGÜÍSTICA APLICADA;53001010078P2;53001010
1376;LITERATURA;53001010022P7;53001010
1377;MATEMÁTICA;53001010003P2;53001010
1378;Matemática em Rede Nacional;31075010001P2;53001010
1379;MEDICINA CLÍNICA MÉDICA;53001010024P0;53001010
1380;MEDICINA TROPICAL;53001010015P0;53001010
1381;Meio Ambiente e Desenvolvimento Rural;53001010093P1;53001010
1382;METAFÍSICA;53001010109P5;53001010
1383;MÚSICA;53001010057P5;53001010
1384;Nanociência e Nanobiotecnologia;53001010096P0;53001010
1385;NUTRIÇÃO HUMANA;53001010034P5;53001010
1386;NUTRIÇÃO HUMANA;53001010049P2;53001010
1387;ODONTOLOGIA;53001010110P3;53001010
1388;PATOLOGIA MOLECULAR;53001010031P6;53001010
1389;PLANEJAMENTO URBANO;53001010020P4;53001010
1390;POLÍTICA SOCIAL;53001010035P1;53001010
1391;PROCESSOS DE DESENVOLVIMENTO HUMANO E SAÚDE;53001010062P9;53001010
1392;PROFARTES;41002016026P1;53001010
1393;PROFBIO ENSINO DE BIOLOGIA EM REDE NACIONAL;32001010175P5;53001010
1394;PROFNIT - PROPRIEDADE INTELECTUAL E TRANSFERÊNCIA DE TECNOLOGIA PARA INOVAÇÃO;31102000001P6;53001010
1395;PSICOLOGIA;53001010013P8;53001010
1396;PSICOLOGIA CLÍNICA E CULTURA;53001010064P1;53001010
1397;PSICOLOGIA SOCIAL, DO TRABALHO E DAS ORGANIZAÇÕES PSTO;53001010065P8;53001010
1398;QUÍMICA;53001010005P5;53001010
1399; Rede Nacional para Ensino das Ciências Ambientais;33002045070P4;53001010
1400;REGULAÇÃO E GESTÃO DE NEGÓCIOS;53001010069P3;53001010
1401;RELAÇÕES INTERNACIONAIS;53001010025P6;53001010
1402;SAÚDE ANIMAL;53001010070P1;53001010
1403;Saúde Coletiva;53001010090P2;53001010
1404;Saúde Coletiva;53001010092P5;53001010
1405;SISTEMAS MECATRÔNICOS;53001010052P3;53001010
1406;SOCIOLOGIA;53001010009P0;53001010
1407;SUSTENTABILIDADE JUNTO A POVOS E TERRITÓRIOS TRADICIONAIS ;53001010113P2;53001010
1408;TECNOLOGIA AMBIENTAL E RECURSOS HÍDRICOS;53001010041P1;53001010
1409;TECNOLOGIAS QUÍMICA E BIOLÓGICA;53001010097P7;53001010
1410;TRANSPORTES;53001010030P0;53001010
1411;TURISMO;53001010061P2;53001010
1412;Zoologia;53001010099P0;53001010
1413;ADMINISTRAÇÃO;42008018007P8;42008018
1414;ADMINISTRAÇÃO E NEGÓCIOS - PUC-RS - UCS;42005019033P0;42008018
1415;BIOTECNOLOGIA;42008018001P0;42008018
1416;BIOTECNOLOGIA E GESTÃO VITIVINÍCOLA;42008018010P9;42008018
1417;CIÊNCIAS DA SAÚDE;42008018034P5;42008018
1418;DIREITO;42008018004P9;42008018
1419;EDUCAÇÃO;42008018008P4;42008018
1420;ENGENHARIA DE PROCESSOS E TECNOLOGIAS;42008018009P0;42008018
1421;ENGENHARIA DE PRODUÇÃO;42008018035P1;42008018
1422;ENGENHARIA E CIÊNCIAS AMBIENTAIS;42008018014P4;42008018
1423;Engenharia Mecânica;42008018013P8;42008018
1424;Ensino de Ciências e Matemática;42008018015P0;42008018
1425;Filosofia;42008018011P5;42008018
1426;História;42008018016P7;42008018
1427;Letras UCS/UNIRITTER;42008018012P1;42008018
1428;Letras e Cultura;42008018005P5;42008018
1429;MATERIAIS;42008018006P1;42008018
1430;PSICOLOGIA;42008018037P4;42008018
1431; SAÚDE ANIMAL;42008018036P8;42008018
1432;Turismo e Hospitalidade;42008018003P2;42008018
1433;Atenção Integral à Saúde;42037018003P1;42037018
1434;Desenvolvimento Rural;42037018001P9;42037018
1435;Práticas Socioculturais e Desenvolvimento Social;42037018002P5;42037018
1436;AMBIENTE E SAÚDE;50008013006P4;50008013
1437;Biociência Animal;50008013002P9;50008013
1438;BIOCIÊNCIA ANIMAL;50008013007P0;50008013
1439;Ciências Ambientais;50008013003P5;50008013
1440;Ciências Odontológicas Integradas;50008013001P2;50008013
1441;CIÊNCIAS ODONTOLÓGICAS INTEGRADAS;50008013004P1;50008013
1442;ENSINO;50008013005P8;50008013
1443;ADMINISTRAÇÃO;22002014009P6;22002014
1444;ADMINISTRAÇÃO DE EMPRESAS;22002014001P5;22002014
1445;CIÊNCIAS DA CIDADE;22002014011P0;22002014
1446;Ciências Médicas;22002014007P3;22002014
1447;DIREITO CONSTITUCIONAL;22002014003P8;22002014
1448;DIREITO E GESTÃO DE CONFLITOS;22002014008P0;22002014
1449;INFORMÁTICA APLICADA;22002014002P1;22002014
1450;ODONTOLOGIA;22002014006P7;22002014
1451;ODONTOLOGIA;22002014010P4;22002014
1452;PSICOLOGIA;22002014005P0;22002014
1453;SAÚDE COLETIVA;22002014004P4;22002014
1454;SAÚDE COLETIVA;22003010021P2;22002014
1455;TECNOLOGIA E INOVAÇÃO EM ENFERMAGEM;22002014012P7;22002014
1456;CIÊNCIA ANIMAL;33093016006P0;33093016
1457;CIÊNCIAS;33093016004P8;33093016
1458;CIÊNCIAS E PRÁTICAS EDUCATIVAS;33093016002P5;33093016
1459;DIREITO;33093016001P9;33093016
1460;LINGÜÍSTICA;33093016005P4;33093016
1461;PROMOÇÃO DE SAÚDE;33093016003P1;33093016
1462;CLÍNICA ODONTOLÓGICA;33034010003P0;33034010
1463;COMUNICAÇÃO;33034010004P7;33034010
1464;DIREITO;33034010006P0;33034010
1465;INTERAÇÕES ESTRUTURAIS E FUNCIONAIS NA REABILITAÇÃO;33034010008P2;33034010
1466;LETRAS;33034010007P6;33034010
1467;PRODUÇÃO INTEGRADA EM AGROECOSSISTEMAS;33034010005P3;33034010
1468;BIOTECNOLOGIA;33008019005P0;33008019
1469;Ciência e Tecnologia em Saúde;33008019007P2;33008019
1470;ENGENHARIA BIOMÉDICA;33008019006P6;33008019
1471;POLÍTICAS PÚBLICAS;33008019008P9;33008019
1472;BIOLOGIA CELULAR E MOLECULAR APLICADA;25004018013P4;25004018
1473;CIÊNCIA E TECNOLOGIA AMBIENTAL PARA O SEMIÁRIDO;25004018072P0;25004018
1474;CIENCIAS DA SAUDE;25004018009P7;25004018
1475;CULTURAS AFRICANAS, DA DIÁSPORA, E DOS POVOS INDÍGENAS;25004018073P7;25004018
1476;Educação;25004018019P2;25004018
1477;EDUCAÇÃO FÍSICA;25004018014P0;25004018
1478;EDUCAÇÃO FÍSICA;33004137068P8;25004018
1479;ENFERMAGEM - FESP-UPE - UEPB;25004018015P7;25004018
1480;ENGENHARIA CIVIL;25004018012P8;25004018
1481;ENGENHARIA DA COMPUTAÇÃO;25004018011P1;25004018
1482;Engenharia de Sistemas;25004018018P6;25004018
1483;Ensino de História;31001017155P1;25004018
1484;FORMAÇÃO DE PROFESSORES E PRÁTICAS INTERDISCIPLINARES;25004018070P8;25004018
1485;GESTÃO DO DESENVOLVIMENTO LOCAL SUSTENTÁVEL;25004018010P5;25004018
1486;HEBIATRIA - DETERMINANTES DE SAÚDE NA ADOLESCENCIA;25004018008P0;25004018
1487;LETRAS;23001011069P5;25004018
1488;ODONTOLOGIA;25004018006P8;25004018
1489;ODONTOLOGIA CIRURGIA E TRAUM. BUCO-MAXILO FACIAL;25004018005P1;25004018
1490;ODONTOLOGIA DENTÍSTICA E ENDODONTIA;25004018002P2;25004018
1491;ODONTOLOGIA ODONTOPEDIATRIA;25004018001P6;25004018
1492;ODONTOLOGIA PREVENTIVA E SOCIAL;25004018003P9;25004018
1493;PERÍCIAS FORENSES;25004018016P3;25004018
1494;PRÁTICAS E INOVAÇÃO EM SAÚDE MENTAL;25004018071P4;25004018
1495;Tecnologia da Energia;25004018017P0;25004018
1496;TOCOGINECOLOGIA;25004018004P5;25004018
1497;VIGILÂNCIA SOBRE SAÚDE;25004018007P4;25004018
1498;BIOTECNOLOGIA;33032017005P7;33032017
1499;DIREITO;33032017003P4;33032017
1500;DIREITOS COLETIVOS E CIDADANIA;33032017007P0;33032017
1501;Direitos Coletivos e Cidadania;33032017009P2;33032017
1502;EDUCAÇÃO;33032017001P1;33032017
1503;ODONTOLOGIA - ENDODONTIA;33032017004P0;33032017
1504;Saúde e Educação;33032017010P0;33032017
1505;TECNOLOGIA AMBIENTAL;33032017006P3;33032017
1506;TECNOLOGIA AMBIENTAL;33032017011P7;33032017
1507;PRODUÇÃO VEGETAL;52004015001P2;52004015
1508;ADMINISTRAÇÃO;42020018008P7;42020018
1509;DESENVOLVIMENTO REGIONAL;42020018001P2;42020018
1510;DIREITO;42020018002P9;42020018
1511;EDUCAÇÃO;42020018006P4;42020018
1512;LETRAS;42020018003P5;42020018
1513;PROMOÇÃO DA SAÚDE;42020018007P0;42020018
1514;PSICOLOGIA;42020018009P3;42020018
1515;SISTEMAS E PROCESSOS INDUSTRIAIS;42020018004P1;42020018
1516;TECNOLOGIA AMBIENTAL;42020018005P8;42020018
1517;ANÁLISES CLÍNICAS;33076014002P0;33076014
1518;Ciências da Saúde;33076014004P3;33076014
1519;CIÊNCIAS HUMANAS;33076014006P6;33076014
1520;MEDICINA VETERINÁRIA;33076014005P0;33076014
1521;ODONTOLOGIA;33076014001P4;33076014
1522;ODONTOLOGIA;33076014007P2;33076014
1523;SAÚDE MATERNO INFANTIL;33076014003P7;33076014
1524;(MEDICINA) TECNOLOGIA E INTERVENÇÃO EM CARDIOLOGIA;33002010202P1;33002010
1525;ACONSELHAMENTO GENÉTICO E GENÔMICA HUMANA;33002010245P2;33002010
1526;ADMINISTRAÇÃO;33002010085P5;33002010
1527;ALERGIA E IMUNOPATOLOGIA;33002010061P9;33002010
1528;Ambiente, Saúde e Sustentabilidade;33002010229P7;33002010
1529;ANATOMIA DOS ANIMAIS DOMÉSTICOS E  SILVESTRES;33002010099P6;33002010
1530;Anestesiologia, Ciências Cirúrgicas e Medicina Perioperatória;33002010132P3;33002010
1531;ANESTESIOLOGIA;33002010252P9;33002010
1532;ARQUEOLOGIA;33002010151P8;33002010
1533;ARQUITETURA E URBANISMO;33002010097P3;33002010
1534;ARTES;33002010114P5;33002010
1535;ARTES CÊNICAS;33002010157P6;33002010
1536;ARTES CÊNICAS;33002010200P9;33002010
1537;ARTES VISUAIS;33002010198P4;33002010
1538;ASSOCIADO À RESIDÊNCIA EM MEDICINA CARDIOVASCULAR;33002010250P6;33002010
1539;ASTRONOMIA;33002010004P5;33002010
1540;Biociência Animal;33002010238P6;33002010
1541;BIOINFORMÁTICA;33002010188P9;33002010
1542;BIOLOGIA DE SISTEMAS;33002010024P6;33002010
1543;BIOTECNOLOGIA;33002010156P0;33002010
1544;CARDIOLOGIA;33002010125P7;33002010
1545;CIÊNCIA AMBIENTAL;33002010145P8;33002010
1546;CIÊNCIA AMBIENTAL;33002010189P5;33002010
1547;CIÊNCIA DA COMPUTAÇÃO;33002010176P0;33002010
1548;CIÊNCIA DA INFORMAÇÃO;33002010195P5;33002010
1549;CIÊNCIA  POLÍTICA;33002010030P6;33002010
1550;CIÊNCIAS BIOLOGIA DA RELAÇÃO PATÓGENO-HOSPEDEIRO;33002010026P9;33002010
1551;CIÊNCIAS FISIOLOGIA GERAL;33002010174P8;33002010
1552;CIÊNCIAS FISIOLOGIA HUMANA;33002010172P5;33002010
1553;CIÊNCIAS FISIOPATOLOGIA EXPERIMENTAL;33002010177P7;33002010
1554;CIÊNCIAS MEDICINA LEGAL;33002010152P4;33002010
1555;CIÊNCIAS BIOLÓGICAS BIOLOGIA GENÉTICA;33002010021P7;33002010
1556;CIÊNCIAS BIOLÓGICAS BIOQUÍMICA;33002010017P0;33002010
1557;CIÊNCIAS BIOLÓGICAS BOTÂNICA;33002010018P6;33002010
1558;CIÊNCIAS BIOLÓGICAS FISIOLOGIA;33002010020P0;33002010
1559;CIÊNCIAS BIOLÓGICAS MICROBIOLOGIA;33002010022P3;33002010
1560;CIÊNCIAS BIOLÓGICAS ZOOLOGIA;33002010027P5;33002010
1561;Ciências da Atividade Física;33002010241P7;33002010
1562;CIÊNCIAS DA COMUNICAÇÃO;33002010096P7;33002010
1563;CIÊNCIAS DA INFORMAÇÃO E DOCUMENTAÇÃO;33002010164P2;33002010
1564;CIÊNCIAS DA REABILITAÇÃO;33002010182P0;33002010
1565;CIÊNCIAS DA REABILITAÇÃO;33002010194P9;33002010
1566;CIÊNCIAS DOS ALIMENTOS;33002010101P0;33002010
1567;CIÊNCIAS DO SISTEMA MUSCULOESQUELÉTICO;33002010115P1;33002010
1568;Ciências em Gastroenterologia;33002010222P2;33002010
1569;CIÊNCIAS MÉDICAS;33002010171P9;33002010
1570;Ciências Médicas;33002010215P6;33002010
1571;CIÊNCIAS MORFOFUNCIONAIS;33002010023P0;33002010
1572;CIÊNCIA SOCIAL ANTROPOLOGIA SOCIAL;33002010029P8;33002010
1573;CIÊNCIAS ODONTOLÓGICAS;33002010077P2;33002010
1574;CIRURGIA PLASTICA;33002010193P2;33002010
1575;CLÍNICA CIRÚRGICA VETERINÁRIA;33002010155P3;33002010
1576;CLÍNICA VETERINÁRIA;33002010150P1;33002010
1577;CONTROLADORIA E CONTABILIDADE;33002010086P1;33002010
1578;Cuidado e Gestão em Pesquisa Clínica em Oncologia;33002010230P5;33002010
1579;CULTURAS E IDENTIDADES BRASILEIRAS;33002010210P4;33002010
1580;DESIGN;33002010249P8;33002010
1581;DIAGNÓSTICO BUCAL, RADIOLOGIA ODONTOLÓGICA E IMAGINOLOGIA;33002010138P1;33002010
1582;DIREITO;33002010119P7;33002010
1583;DOENÇAS INFECCIOSAS E PARASITÁRIAS;33002010068P3;33002010
1584;DOENÇAS INFECCIOSAS E PARASITÁRIAS ;33002010247P5;33002010
1585;ECOLOGIA;33002010116P8;33002010
1586;ECONOMIA;33002010036P4;33002010
1587;EDUCAÇÃO;33002010001P6;33002010
1588;EDUCAÇÃO FÍSICA E ESPORTE;33002010084P9;33002010
1589;Empreendedorismo;33002010240P0;33002010
1590;ENDOCRINOLOGIA;33002010062P5;33002010
1591;ENERGIA;33002010149P3;33002010
1592;ENFERMAGEM;33002010083P2;33002010
1593;ENFERMAGEM;33002010120P5;33002010
1594;Enfermagem na Atenção Primária em Saúde no SUS;33002010231P1;33002010
1595;ENFERMAGEM NA SAÚDE DO ADULTO;33002010186P6;33002010
1596;ENGENHARIA ENGENHARIA DE PRODUÇÃO;33002010052P0;33002010
1597;ENGENHARIA AUTOMOTIVA;33002010192P6;33002010
1598;ENGENHARIA CIVIL;33002010130P0;33002010
1599;ENGENHARIA DE ALIMENTOS;33002010209P6;33002010
1600;ENGENHARIA DE SISTEMAS LOGÍSTICOS;33002010190P3;33002010
1601;ENGENHARIA DE TRANSPORTES;33002010055P9;33002010
1602;Engenharia e Ciência de Materiais;33002010239P2;33002010
1603;ENGENHARIA ELÉTRICA;33002010045P3;33002010
1604;ENGENHARIA MECÂNICA;33002010046P0;33002010
1605;ENGENHARIA METALÚRGICA;33002010048P2;33002010
1606;ENGENHARIA MINERAL;33002010131P7;33002010
1607;ENGENHARIA NAVAL E OCEÂNICA;33002010049P9;33002010
1608;ENGENHARIA QUÍMICA;33002010053P6;33002010
1609;Ensino de Astronomia;33002010234P0;33002010
1610;ENSINO DE CIÊNCIAS - MODALIDADES FÍSICA, QUÍMICA E BIOLOGIA;33002010003P9;33002010
1611;Ensino de Matemática;33002010223P9;33002010
1612;ENTOMOLOGIA EM SAÚDE PÚBLICA ;33002010246P9;33002010
1613;Epidemiologia;33002010242P3;33002010
1614;EPIDEMIOLOGIA EXPERIMENTAL APLICADA ÀS ZOONOSES;33002010123P4;33002010
1615;ESTATÍSTICA;33002010007P4;33002010
1616;Estatística - UFSCAR/USP;33001014045P7;33002010
1617;ESTÉTICA E HISTÓRIA DA ARTE;33002010185P0;33002010
1618;Estudos Culturais;33002010217P9;33002010
1619;ESTUDOS DA TRADUÇÃO;33002010224P5;33002010
1620;Estudos Judaicos e Arabes;33002010216P2;33002010
1621;ESTUDOS LINGUÍSTICOS  E LITERÁRIOS EM INGLÊS;33002010109P1;33002010
1622;Farmácia Fisiopatologia e Toxicologia;33002010079P5;33002010
1623;FARMACOLOGIA;33002010019P2;33002010
1624;FÁRMACOS E MEDICAMENTOS;33002010081P0;33002010
1625;FILOLOGIA E LÍNGUA PORTUGUESA;33002010107P9;33002010
1626;FILOSOFIA;33002010031P2;33002010
1627;FÍSICA;33002010002P2;33002010
1628;FORMAÇÃO INTERDISCIPLINAR EM SAÚDE;33002010237P0;33002010
1629;GASTROENTEROLOGIA CLÍNICA;33002010063P1;33002010
